feature,gain_importance_mean,gain_importance_std,split_importance_mean,split_importance_std,perm_importance_mean,perm_importance_std,gain_importance_norm_mean,split_importance_norm_mean,perm_importance_norm_mean,validation_roc_auc_mean,feature_family,consolidated_score,consolidated_rank,gain_rank,split_rank,perm_rank,is_zero_importance,is_near_zero_importance,importance_bucket
asl_flag,667.4136198043823,127.26168265346918,19.8,3.1937438845342623,0.001183829223500421,0.0007966723874279866,0.009447432183904344,0.0132,0.00749404012387272,0.687002344113593,Original Features,0.010047157435925687,26,27,23,25,False,False,signal
change_rev,603.2245384216309,94.10328952371849,21.8,4.381780460041329,0.0009267417327470124,0.0007306187449574077,0.00854084915943515,0.014533333333333332,0.006093547269664562,0.687002344113593,Original Features,0.009722576587477683,27,29,22,26,False,False,signal
refurb_new,779.8773015975952,241.95068340226646,9.4,0.8944271909999161,0.0016205312630322767,0.0015724453207905833,0.011040604488092094,0.006266666666666666,0.010589882489426397,0.687002344113593,Original Features,0.009299051214728385,28,22,39,23,False,False,signal
avgmou,523.3253412246704,126.16290641159443,16.6,4.505552130427524,0.0012949715593629785,0.0007608055082682627,0.007408523289404572,0.011066666666666666,0.008325877025411677,0.687002344113593,Original Features,0.008933688993827639,29,31,28,24,False,False,signal
vceovr_Mean,564.4161792755127,168.77057847646054,17.4,3.847076812334269,0.0008342675756736418,0.0008593964988604872,0.008001028066445183,0.0116,0.005570814800689043,0.687002344113593,Original Features,0.008390614289044742,30,30,25,27,False,False,signal
mou_Mean_log,759.2068195343018,110.09146853461363,14.6,2.408318915758459,0.000562445558090204,0.000816764572279242,0.010752624864054951,0.009733333333333333,0.0043886522317278295,0.687002344113593,Log Features,0.008291536809705373,31,23,31,32,False,False,signal
mouiwylisv_Mean,468.3238208770752,153.45246250731464,18.4,4.827007354458868,-4.120333747038944e-05,0.001082785226715458,0.006628751198733912,0.012266666666666667,0.0022391586764469408,0.687002344113593,Original Features,0.0070448588472825065,32,32,24,151,False,False,signal
change_rev_capped,464.6577390670776,143.38258563083238,15.8,3.271085446759225,0.0004419024607659713,0.0004582731461589512,0.006578539601589879,0.010533333333333334,0.003430517066499123,0.687002344113593,Winsorized Features,0.006847463333807445,33,33,29,37,False,False,signal
area,297.7050397872925,103.41471563401184,13.8,4.086563348340509,0.0007595948605170063,0.001202094309919941,0.004215694159290019,0.0092,0.006033040205155553,0.687002344113593,Original Features,0.006482911454815191,34,38,32,28,False,False,signal
ovrrev_Mean,424.17975902557373,143.05129623847787,12.6,4.03732584763727,0.00039416526071943305,0.0007363428999564827,0.006007643394112222,0.008400000000000001,0.002904341149567951,0.687002344113593,Original Features,0.005770661514560058,35,35,34,40,False,False,signal
ovrmou_Mean,408.0446992874146,178.96229964614344,13.0,5.477225575051661,0.00025562070527712275,0.0006825531256275831,0.005781206420451525,0.008666666666666666,0.0023723110166724995,0.687002344113593,Original Features,0.005606728034596897,36,36,33,46,False,False,signal
avg6rev,440.0513027191162,154.83971029231583,8.0,2.5495097567963922,0.0004417024445646808,0.00028293407371826233,0.00623377555318764,0.005333333333333334,0.002830139709980489,0.687002344113593,Original Features,0.004799082865500488,37,34,44,38,False,False,signal
