model,stage,fold_mean,fold_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_gap_mean
LightGBM,validation,3.0,1.5811388300841898,0.687002344113593,0.003298247218071868,0.63262,0.003291390283755513,0.6243525669089822,0.0027385910761139032,0.6495500706835506,0.007937130931849206,0.6366868069963278,0.004645118070089208,0.027171769593310358
XGBoost,validation,3.0,1.5811388300841898,0.6773994362584597,0.004340967132736265,0.62441,0.003866749280726636,0.6116264055984719,0.0030826665740854887,0.663472092189946,0.010522285925914024,0.636467558571812,0.005709193270202762,0.01354529326588505
CatBoost,validation,3.0,1.5811388300841898,0.6715152224375517,0.004168805904156667,0.6194200000000001,0.004444040953906742,0.606345390985172,0.003847698890624538,0.6616963079192526,0.007884042162772532,0.6328019498494075,0.00518955841519848,0.009474806141702374
Random Forest,validation,3.0,1.5811388300841898,0.6617674002262237,0.005215924596721594,0.6141500000000001,0.004274780696129313,0.6030521936473241,0.0030237567841393358,0.6479359226725294,0.010771668389548877,0.6246679044249481,0.006386836854497672,0.3382325975236038
Logistic Regression,validation,3.0,1.5811388300841898,0.6568085421081872,0.0015482956393309728,0.61382,0.0009922197337283172,0.612862281088608,0.0008522278824480058,0.5995320201817149,0.003261787917968308,0.6061203728771425,0.0017876718860687431,0.006958333665520677
