trial_number,value,train_roc_auc_mean,validation_roc_auc_mean,roc_auc_gap_mean,accuracy_mean_validation,precision_mean_validation,recall_mean_validation,f1_mean_validation,fold_1_train_roc_auc,fold_1_validation_roc_auc,fold_2_train_roc_auc,fold_2_validation_roc_auc,fold_3_train_roc_auc,fold_3_validation_roc_auc,fold_4_train_roc_auc,fold_4_validation_roc_auc,fold_5_train_roc_auc,fold_5_validation_roc_auc,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,min_split_gain
66,0.6950476477650354,0.7790484319886338,0.6950476477650354,0.0840007842235984,0.6390399999999999,0.6334801879905749,0.6447480184139545,0.6390535965050234,0.7800948977946895,0.6920200289959948,0.7787417317250565,0.6986222787202763,0.7789335277232162,0.6936127333700722,0.7789769810501117,0.6958096935026649,0.7784950216500951,0.6951735042361682,0.1226988030582996,99,12,27,0.6865798643049159,0.6147859226286729,0,0.0016395292049427,7.945154546449115,0.4028193098716147
63,0.6949340061131875,0.7755815620665822,0.6949340061131875,0.0806475559533947,0.63889,0.6329212934191032,0.6461806640288671,0.6394690712140306,0.7760745357242973,0.6918530263555649,0.7750322998464834,0.6983648192331677,0.7761143743817887,0.6920382614429661,0.7755567470009421,0.6971095091603894,0.7751298533793993,0.6953044143738492,0.1347505811420984,87,12,20,0.7460194698482218,0.6117312544330743,0,0.0027467197085425,9.048555119315104,0.4798754494429644
82,0.6946283592443858,0.8004311013397529,0.6946283592443858,0.1058027420953671,0.6384,0.632764546873459,0.6443847245857361,0.6385163931808111,0.8009450323305802,0.6909762099893341,0.7991526186886093,0.6998116587444503,0.8009078651334243,0.6918796691615798,0.8005886700700523,0.6948079559281071,0.800561320476099,0.6956663023984576,0.1344905339824308,126,12,30,0.7657884940109112,0.6248166394756239,0,0.0003467483910602,9.860828827637947,0.4744857224258521
83,0.6943786097033983,0.8008687941334147,0.6943786097033983,0.1064901844300164,0.6388,0.6331930993945949,0.6447076795725719,0.638888568031878,0.8005659481408606,0.6923581645894777,0.800619373817171,0.6990022274785979,0.8006564133816496,0.6905815586359008,0.8011735886028775,0.6952370791594102,0.8013286467245149,0.6947140186536046,0.1380083554271034,124,12,37,0.7500010797355363,0.6249453512593603,0,0.0057909996495852,9.747593895373011,0.4727781543055727
72,0.6942543462917996,0.7931806326900601,0.6942543462917996,0.0989262863982605,0.63863,0.6331151669975624,0.64416288538371,0.6385831109346551,0.7934400888202392,0.6920234092518462,0.7941247596653223,0.69873309710812,0.79169420565012,0.690942156560604,0.7941096483949552,0.6944583988584077,0.7925344609196642,0.69511466968002,0.1398564101663782,110,12,26,0.7319476520099412,0.6461618668025988,0,0.0079578051618351,9.27007862239944,0.4353679589087804
84,0.6941187882301133,0.8065699134349741,0.6941187882301133,0.1124511252048607,0.6387700000000001,0.63300143730451,0.6452524269457436,0.6390646881385781,0.806524558520084,0.692030509789286,0.8067533486370659,0.6974804822977051,0.8066124415775583,0.691141702013404,0.8065354584960411,0.6943449700744826,0.8064237599441207,0.6955962769756889,0.1376195926096867,127,12,42,0.7501742660615507,0.6759915352667824,0,0.0125310301054885,5.780110804382991,0.4871051946018948
62,0.6941078239017701,0.7687364444963126,0.6941078239017701,0.0746286205945425,0.63758,0.6314726870341767,0.6453936882027799,0.638350923595351,0.7690422167313398,0.6907144301752199,0.7686157688945897,0.6973087492992345,0.7691005386349892,0.6922971314898626,0.7686456013038498,0.6945013621854876,0.768278096916795,0.6957174463590461,0.1202688842972254,76,12,30,0.7012453343490346,0.624176153236231,0,0.0018317063106161,0.3778048347684324,0.4358018486370883
65,0.6940157021222777,0.7738670899042739,0.6940157021222777,0.0798513877819961,0.63787,0.6320669034469406,0.644505869344166,0.638213886731951,0.7739748334209078,0.6920656524492339,0.7733028054243318,0.69780204663691,0.7741194878982922,0.6921396592952158,0.7742990778981516,0.6938218095609323,0.773639244879686,0.6942493426690963,0.1188668471466625,96,12,28,0.6923340875907915,0.6118467933717566,0,0.0028621611576959,9.528645136582073,0.4054900653271982
55,0.6939853457529885,0.7696888570963669,0.6939853457529885,0.0757035113433783,0.6380100000000001,0.6319118127709905,0.645837580330636,0.6387932744659178,0.7694175753216856,0.6907135601093646,0.7695923584675972,0.6992069729757845,0.77033661139681,0.690756262164942,0.7697747415036463,0.6966096354501693,0.7693229987920951,0.6926402980646822,0.1177762625098341,80,12,8,0.8022425535034253,0.6044937619629435,0,2.7002062086859545e-05,2.00856309934814,0.46285397406433
58,0.6939658763492111,0.7756101268676678,0.6939658763492111,0.0816442505184567,0.6374099999999999,0.6319320172149916,0.6428312782059445,0.6373207876022577,0.7761690623779087,0.6921564393208921,0.7755265679054328,0.6974671412879241,0.7759884822431717,0.692565632282564,0.7752602933662108,0.6940945406812303,0.7751062284456154,0.6935456281734458,0.1152860245871123,89,12,25,0.7362390004060607,0.6307914142442861,0,0.0001792211109096,1.4908213765685696,0.4382592838371057
