comparison,feature_count,roc_auc_validation_mean,accuracy_validation_mean,precision_validation_mean,recall_validation_mean,f1_validation_mean,roc_auc_train_mean,roc_auc_gap_mean
v2,61,0.6872400182654991,0.63298,0.6251041653998787,0.6482385698270677,0.6364487357729046,0.7128270430247609,0.02558702475926178
v3,71,0.6872239246966008,0.63307,0.6253708387988925,0.6475726410570999,0.6362680464823104,0.7136684333129709,0.026444508616370155
v3_minus_v2,10,-1.609356889831215e-05,9.00000000000345e-05,0.00026667339901387255,-0.0006659287699678496,-0.000180689290594227,0.0008413902882100643,0.0008574838571083765
