model,feature_count_selected,baseline_feature_count,feature_count_reduction,roc_auc_mean_train_selected,roc_auc_mean_validation_selected,roc_auc_gap_mean_selected,roc_auc_mean_train_baseline,roc_auc_mean_validation_baseline,roc_auc_gap_mean_baseline,roc_auc_change,roc_auc_gap_change,accuracy_mean_validation_selected,accuracy_mean_validation_baseline,accuracy_change,precision_mean_validation_selected,precision_mean_validation_baseline,precision_change,recall_mean_validation_selected,recall_mean_validation_baseline,recall_change,f1_mean_validation_selected,f1_mean_validation_baseline,f1_change
LightGBM,61,227,166,0.7128270430247609,0.6872400182654991,0.02558702475926178,0.7141741137069033,0.687002344113593,0.027171769593310358,0.00023767415190611985,-0.0015847448340485792,0.63298,0.63262,0.00036000000000002697,0.6251041653998787,0.6243525669089822,0.0007515984908964546,0.6482385698270677,0.6495500706835506,-0.0013115008564829056,0.6364487357729046,0.6366868069963278,-0.00023807122342323073
XGBoost,61,227,166,0.689484157645208,0.6768900598709956,0.012594097774212387,0.6909447295243447,0.6773994362584597,0.01354529326588505,-0.0005093763874640667,-0.0009511954916726628,0.6241399999999999,0.62441,-0.0002700000000001035,0.6112199146900196,0.6116264055984719,-0.0004064909084523505,0.6639360763908311,0.663472092189946,0.0004639842008851147,0.636470025711166,0.636467558571812,2.4671393539232866e-06
CatBoost,61,227,166,0.6822706368041153,0.6732822635391698,0.008988373264945504,0.6809900285792541,0.6715152224375517,0.009474806141702374,0.001767041101618072,-0.0004864328767568704,0.6204,0.6194200000000001,0.0009799999999998699,0.6054687965179345,0.606345390985172,-0.0008765944672375348,0.6719258700818184,0.6616963079192526,0.010229562162565764,0.636945150125807,0.6328019498494075,0.004143200276399472
